symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2022-12-07 06:00:00+00:00,0.1005,0.1006,0.0929,0.0959,56467418.0,4791.0,0.0959399415
DOGE/USD,2022-12-08 06:00:00+00:00,0.096,0.0994,0.0947,0.0985,48132288.0,3712.0,0.0973452843
DOGE/USD,2022-12-09 06:00:00+00:00,0.0984,0.0987,0.0957,0.0969,35564245.0,2786.0,0.096979631
DOGE/USD,2022-12-10 06:00:00+00:00,0.0968,0.0973,0.0961,0.0969,12262772.0,1098.0,0.096762109
DOGE/USD,2022-12-11 06:00:00+00:00,0.0969,0.0971,0.0847,0.088,61465551.0,4301.0,0.0908486207
DOGE/USD,2022-12-12 06:00:00+00:00,0.0878,0.0917,0.0868,0.0896,46392101.0,3123.0,0.0889546912
DOGE/USD,2022-12-13 06:00:00+00:00,0.0896,0.0955,0.087,0.0911,83148680.0,6537.0,0.0910077493
DOGE/USD,2022-12-14 06:00:00+00:00,0.0911,0.0925,0.0862,0.0878,40943344.0,4039.0,0.0893464258
DOGE/USD,2022-12-15 06:00:00+00:00,0.0877,0.088,0.084,0.0861,24271119.0,2741.0,0.0864090907
DOGE/USD,2022-12-16 06:00:00+00:00,0.0861,0.0867,0.0743,0.0773,70554898.0,5009.0,0.0790995689
DOGE/USD,2022-12-17 06:00:00+00:00,0.0774,0.08,0.0767,0.0795,20075258.0,2148.0,0.0782309602
DOGE/USD,2022-12-18 06:00:00+00:00,0.0794,0.0798,0.0768,0.0773,20024128.0,2148.0,0.0784643825
DOGE/USD,2022-12-19 06:00:00+00:00,0.0775,0.0782,0.0699,0.0748,52199228.0,4098.0,0.0739278542
DOGE/USD,2022-12-20 06:00:00+00:00,0.0747,0.0755,0.0714,0.0725,22012822.0,1965.0,0.0738118786
DOGE/USD,2022-12-21 06:00:00+00:00,0.0726,0.0742,0.0723,0.0736,20524886.089646608,1639.0,0.0733839835
DOGE/USD,2022-12-22 06:00:00+00:00,0.0735,0.079,0.0733,0.07836,60231857.18594214,4331.0,0.0763812188
DOGE/USD,2022-12-23 06:00:00+00:00,0.0782,0.0786,0.0765,0.0769,24292164.28505517,2135.0,0.0774936084
DOGE/USD,2022-12-24 06:00:00+00:00,0.0769,0.0781,0.0766,0.0771,13331644.226804122,1082.0,0.0774627657
DOGE/USD,2022-12-25 06:00:00+00:00,0.0771,0.0772,0.0733611,0.076,34037339.04381908,2878.0,0.0753625061
DOGE/USD,2022-12-26 06:00:00+00:00,0.076,0.0761,0.0742,0.0748,18433649.45549738,1660.0,0.0753620362
DOGE/USD,2022-12-27 06:00:00+00:00,0.0749,0.0752,0.0693,0.0705,38251347.45724054,3217.0,0.0725335579
DOGE/USD,2022-12-28 06:00:00+00:00,0.0704,0.0726,0.0697,0.0706,30304813.971112635,2995.0,0.0708373232
DOGE/USD,2022-12-29 06:00:00+00:00,0.0706,0.0715,0.0693,0.07,23911167.0,1920.0,0.070703716
DOGE/USD,2022-12-30 06:00:00+00:00,0.0699,0.0701,0.066,0.0681,44271142.938681714,3099.0,0.0679461331
DOGE/USD,2022-12-31 06:00:00+00:00,0.068,0.0712,0.068,0.0693,26581406.31838988,2109.0,0.0700643535
DOGE/USD,2023-01-01 06:00:00+00:00,0.0694,0.0708,0.069,0.0702,14742226.0,1231.0,0.0698566687
DOGE/USD,2023-01-02 06:00:00+00:00,0.0702,0.0735,0.07,0.0719,29815344.808923203,2044.0,0.0718406892
DOGE/USD,2023-01-03 06:00:00+00:00,0.072,0.07303,0.0695,0.0723,23617004.90546012,2062.0,0.0711399581
DOGE/USD,2023-01-04 06:00:00+00:00,0.0723,0.075,0.0716,0.0749,26351525.43747557,2312.0,0.0729047558
DOGE/USD,2023-01-05 06:00:00+00:00,0.0747,0.0752,0.0706,0.071,33626290.3198508,2341.0,0.0724384061
DOGE/USD,2023-01-06 06:00:00+00:00,0.0711,0.0729,0.0696,0.0724,29892325.48819582,2294.0,0.0712930621
DOGE/USD,2023-01-07 06:00:00+00:00,0.0723,0.0727,0.0713,0.0718,10622672.0,1324.0,0.071966473
DOGE/USD,2023-01-08 06:00:00+00:00,0.0719,0.0761,0.0714,0.0751,29034111.879313655,2635.0,0.0736841939
DOGE/USD,2023-01-09 06:00:00+00:00,0.0752,0.0796,0.0737,0.0761,64057139.68775207,5692.0,0.0767303039
DOGE/USD,2023-01-10 06:00:00+00:00,0.0761,0.0783,0.0755,0.0765,31186649.6660324,2947.0,0.076647408
DOGE/USD,2023-01-11 06:00:00+00:00,0.0767,0.0812,0.0748,0.0788,40890588.49532815,3531.0,0.0779987185
DOGE/USD,2023-01-12 06:00:00+00:00,0.0788,0.08155,0.0758,0.0801,52179005.42618337,4845.0,0.0790230263
DOGE/USD,2023-01-13 06:00:00+00:00,0.08,0.09,0.0786,0.088,80839015.16085346,8171.0,0.0842351946
DOGE/USD,2023-01-14 06:00:00+00:00,0.0881,0.0923,0.084,0.085,63083799.78397835,6490.0,0.0868162808
DOGE/USD,2023-01-15 06:00:00+00:00,0.0851,0.0882,0.0828,0.0873,28998383.416662887,3604.0,0.0858408324
DOGE/USD,2023-01-16 06:00:00+00:00,0.0873,0.08758455,0.0815,0.084,30193518.252622817,3680.0,0.0840061181
DOGE/USD,2023-01-17 06:00:00+00:00,0.0839,0.0884,0.0826,0.0883,52370703.59766719,5760.0,0.0857408677
DOGE/USD,2023-01-18 06:00:00+00:00,0.0883,0.0897,0.079,0.081,70462322.24185535,7987.0,0.0831219381
DOGE/USD,2023-01-19 06:00:00+00:00,0.0809,0.0821,0.08,0.0808,16517924.052123839,2395.0,0.0811817272
DOGE/USD,2023-01-20 06:00:00+00:00,0.0808,0.086969,0.0806,0.086,34267377.3981207,4684.0,0.0845535609
DOGE/USD,2023-01-21 06:00:00+00:00,0.086,0.089,0.0843,0.0855,51990534.835717835,5817.0,0.0865853084
DOGE/USD,2023-01-22 06:00:00+00:00,0.0855,0.0934,0.0851,0.0898,64397575.68760071,8463.0,0.0897858101
DOGE/USD,2023-01-23 06:00:00+00:00,0.0899,0.0908,0.0865,0.0898,43402541.26367164,5261.0,0.088755865
DOGE/USD,2023-01-24 06:00:00+00:00,0.0899,0.090182,0.0817,0.0843,39759779.66484389,4547.0,0.0860348065
DOGE/USD,2023-01-25 06:00:00+00:00,0.0842,0.0881,0.0827,0.0874,28229191.00926223,4647.0,0.0856064998
DOGE/USD,2023-01-26 06:00:00+00:00,0.0873,0.0877,0.0837,0.0857,25357117.09080266,3547.0,0.0857564217
DOGE/USD,2023-01-27 06:00:00+00:00,0.0856,0.0936,0.0846,0.0923,40479937.61599308,4427.0,0.0882422215
DOGE/USD,2023-01-28 06:00:00+00:00,0.09236783,0.0924,0.0869,0.0889,28244836.263969813,3022.0,0.0887252349
DOGE/USD,2023-01-29 06:00:00+00:00,0.0888,0.091,0.0882,0.0892,30026332.1540315,3501.0,0.0896293549
DOGE/USD,2023-01-30 06:00:00+00:00,0.0892,0.095,0.0846,0.0918,96446286.77351137,9175.0,0.0899696843
DOGE/USD,2023-01-31 06:00:00+00:00,0.0918,0.0979,0.0911,0.0926,85916644.09381326,8368.0,0.0944955813
DOGE/USD,2023-02-01 06:00:00+00:00,0.0924,0.096,0.0883,0.0939,67532280.33331054,7048.0,0.0922817062
DOGE/USD,2023-02-02 06:00:00+00:00,0.0939,0.09465,0.0902,0.0922,35740795.514548555,3585.0,0.0927077981
DOGE/USD,2023-02-03 06:00:00+00:00,0.0922,0.0953,0.0907,0.0933,31852573.358491346,3834.0,0.0929054596
DOGE/USD,2023-02-04 06:00:00+00:00,0.0934,0.0998,0.0927,0.0954,57854421.357025966,6107.0,0.0963722407
DOGE/USD,2023-02-05 06:00:00+00:00,0.0953,0.097,0.0906,0.0918626,32592898.126530904,4036.0,0.0925954528
DOGE/USD,2023-02-06 06:00:00+00:00,0.09639,0.099748,0.0885,0.091,19680209.03139771,2337.0,0.0904390951
DOGE/USD,2023-02-07 06:00:00+00:00,0.0909,0.0934,0.09,0.0921,21428811.63010144,2827.0,0.0916455235
DOGE/USD,2023-02-08 06:00:00+00:00,0.092,0.09471,0.085,0.0878,26569471.73274883,3387.0,0.0890259065
DOGE/USD,2023-02-09 06:00:00+00:00,0.0877,0.092715,0.0797,0.0817,43531855.59130941,4846.0,0.0834907051
DOGE/USD,2023-02-10 06:00:00+00:00,0.0817,0.08631,0.0793,0.0816,29175464.73978434,2743.0,0.081719782
DOGE/USD,2023-02-11 06:00:00+00:00,0.0816,0.0826,0.0808,0.0817,12655219.028435038,1070.0,0.0816893201
DOGE/USD,2023-02-12 06:00:00+00:00,0.0819,0.0865,0.0804,0.0842,39430830.42035388,3626.0,0.0838960055
DOGE/USD,2023-02-13 06:00:00+00:00,0.08437,0.08437,0.0795,0.0817,25164895.07825882,2427.0,0.0812838467
DOGE/USD,2023-02-14 06:00:00+00:00,0.0817,0.0876,0.0802,0.0866,38338852.766304865,4131.0,0.0845260713
DOGE/USD,2023-02-15 06:00:00+00:00,0.0866557,0.0909,0.0855,0.0902,46027048.15730231,4753.0,0.0880312358
DOGE/USD,2023-02-16 06:00:00+00:00,0.0902,0.0919,0.0842,0.0859,32290237.438121945,3648.0,0.0879373827
DOGE/USD,2023-02-17 06:00:00+00:00,0.0858,0.088646,0.0858,0.0881,20996518.105685763,3428.0,0.0873455819
DOGE/USD,2023-02-18 06:00:00+00:00,0.0882,0.0905,0.0868,0.0888,15199587.809333995,2703.0,0.0887129873
DOGE/USD,2023-02-19 06:00:00+00:00,0.089,0.09,0.0853,0.0878,24490226.314720653,2792.0,0.0875442294
DOGE/USD,2023-02-20 06:00:00+00:00,0.0878,0.0888,0.0873,0.0879,13073041.413907828,1887.0,0.0881589443
DOGE/USD,2023-02-21 06:00:00+00:00,0.0879,0.0886,0.0833,0.0845,23783624.907680225,2996.0,0.0857089782
DOGE/USD,2023-02-22 06:00:00+00:00,0.0845,0.0885,0.0828,0.0858,29951688.33897954,3785.0,0.0855989119
DOGE/USD,2023-02-23 06:00:00+00:00,0.0857,0.0859,0.0835,0.08415,10075477.169300372,1398.0,0.0846023027
DOGE/USD,2023-02-24 06:00:00+00:00,0.084,0.0849,0.0792,0.0811,18261319.36170735,2673.0,0.0814883829
DOGE/USD,2023-02-25 06:00:00+00:00,0.0811,0.0817,0.0785,0.0812,15780683.9519698,1988.0,0.0802768044
DOGE/USD,2023-02-26 06:00:00+00:00,0.0811,0.0826,0.0809,0.0814,5993743.091309671,1088.0,0.0817762223
DOGE/USD,2023-02-27 06:00:00+00:00,0.0814,0.0829,0.08,0.0821,6242011.810641571,1662.0,0.081336661
DOGE/USD,2023-02-28 06:00:00+00:00,0.0824,0.0824,0.082,0.082,272714.0,34.0,0.082195818
DOGE/USD,2023-03-01 06:00:00+00:00,0.0821,0.0828,0.0807,0.0808,5197666.991489977,978.0,0.0818366158
DOGE/USD,2023-03-02 06:00:00+00:00,0.0807,0.081,0.0735,0.0755,29323371.307942808,3773.0,0.0770943602
DOGE/USD,2023-03-03 06:00:00+00:00,0.0754,0.0773,0.0754,0.0763,7739481.838584158,1315.0,0.076195273
DOGE/USD,2023-03-04 06:00:00+00:00,0.0763,0.0766,0.0725,0.0756,11918212.783187782,1440.0,0.0746662801
DOGE/USD,2023-03-05 06:00:00+00:00,0.0756,0.0759,0.0734,0.0738,7460528.236987553,1722.0,0.074615989
DOGE/USD,2023-03-06 06:00:00+00:00,0.073932,0.076,0.0732,0.0756,8673209.958340112,1219.0,0.0748305939
DOGE/USD,2023-03-07 06:00:00+00:00,0.0756,0.0756,0.0724,0.0727,13561047.361369755,1644.0,0.0735696531
DOGE/USD,2023-03-08 06:00:00+00:00,0.0727,0.077048925,0.07014555,0.07183915,17248856.302981414,6877.0,0.0720596156
DOGE/USD,2023-03-09 06:00:00+00:00,0.07185085,0.07713475,0.06403972,0.066062715,25153047.554180875,4014.0,0.0673250399
DOGE/USD,2023-03-10 06:00:00+00:00,0.066046,0.0746914,0.06209675,0.066448935,24421754.111071102,3815.0,0.0652998528
DOGE/USD,2023-03-11 06:00:00+00:00,0.0664595,0.07448325,0.06353995,0.06656,14065161.727958307,2032.0,0.0656653949
DOGE/USD,2023-03-12 06:00:00+00:00,0.066548,0.0721,0.06584845,0.0703103,21661698.55161905,4468.0,0.0695593967
DOGE/USD,2023-03-13 05:00:00+00:00,0.0703,0.0739,0.068343,0.07294986,25291209.157862883,3952.0,0.0713018594
DOGE/USD,2023-03-14 05:00:00+00:00,0.072948165,0.077754,0.0714848965,0.075747455,30585265.59871679,5930.0,0.0750470052
DOGE/USD,2023-03-15 05:00:00+00:00,0.0757428885,0.076243,0.0675,0.069846915,26538993.290613815,4157.0,0.0708418799
DOGE/USD,2023-03-16 05:00:00+00:00,0.06984985,0.0743,0.06935296,0.073401675,20733337.235759553,3209.0,0.071661373
DOGE/USD,2023-03-17 05:00:00+00:00,0.0734445,0.079,0.0729,0.077413948,26970261.731117327,4499.0,0.0760010415
DOGE/USD,2023-03-18 05:00:00+00:00,0.077422883,0.0783,0.0726,0.0747635,20541670.262520175,3362.0,0.0755019443
DOGE/USD,2023-03-19 05:00:00+00:00,0.0747546,0.0766089425,0.0729,0.0734585,14677128.52892959,3347.0,0.0749078713
DOGE/USD,2023-03-20 05:00:00+00:00,0.073452925,0.0756,0.0705,0.0724222185,21726847.019821174,3614.0,0.0732584646
DOGE/USD,2023-03-21 05:00:00+00:00,0.0724058685,0.0781,0.0705235,0.0761536,30563423.4086293,5269.0,0.0757748641
DOGE/USD,2023-03-22 05:00:00+00:00,0.0761961305,0.0781,0.0718,0.0739846725,25285909.210380714,4977.0,0.075238305
DOGE/USD,2023-03-23 05:00:00+00:00,0.0739699975,0.0792,0.0738798035,0.0764493,39196121.86184914,4515.0,0.0773061008
DOGE/USD,2023-03-24 05:00:00+00:00,0.076457955,0.076900529,0.073,0.07516242,18765659.761297885,2438.0,0.0747324553
DOGE/USD,2023-03-25 05:00:00+00:00,0.075145,0.0757,0.0725888,0.074551,9327147.66602305,1330.0,0.074282668
DOGE/USD,2023-03-26 05:00:00+00:00,0.07454375,0.0755,0.07339916,0.0739274765,5577288.097420374,991.0,0.074383638
DOGE/USD,2023-03-27 05:00:00+00:00,0.074,0.0763,0.0714,0.07260269,20267057.444149036,2521.0,0.0738613313
DOGE/USD,2023-03-28 05:00:00+00:00,0.07260195,0.0749,0.0718,0.074830788,10329805.97280005,1499.0,0.0733468917
DOGE/USD,2023-03-29 05:00:00+00:00,0.074818248,0.076948,0.074,0.0752605,18353869.018165708,2662.0,0.0756995904
DOGE/USD,2023-03-30 05:00:00+00:00,0.075253,0.0757,0.0734,0.07485475,10813488.941037742,1461.0,0.0745854224
DOGE/USD,2023-03-31 05:00:00+00:00,0.0749,0.0787,0.0734,0.0777602905,19206723.99782397,2411.0,0.0767706874
DOGE/USD,2023-04-01 05:00:00+00:00,0.07775085,0.0855,0.0758453,0.084665,55997565.7957148,6201.0,0.0817519783
DOGE/USD,2023-04-02 05:00:00+00:00,0.08464255,0.08534705,0.076085315,0.0775933005,31512141.22914837,4266.0,0.0796625384
DOGE/USD,2023-04-03 05:00:00+00:00,0.0775936505,0.1045,0.0764,0.095051397,298658808.3672425,34258.0,0.094925784
DOGE/USD,2023-04-04 05:00:00+00:00,0.095067347,0.10343,0.093,0.0974585,164115473.42574084,21820.0,0.0977584177
DOGE/USD,2023-04-05 05:00:00+00:00,0.09744,0.0992,0.0898,0.092,76459355.71698965,8132.0,0.0944475485
DOGE/USD,2023-04-06 05:00:00+00:00,0.0919680345,0.094238363,0.084,0.085005266,81209478.06804924,8895.0,0.0880889056
DOGE/USD,2023-04-07 05:00:00+00:00,0.085029466,0.08506275,0.081258955,0.083345,36501664.777917445,4156.0,0.082793465
DOGE/USD,2023-04-08 05:00:00+00:00,0.0833,0.0839,0.0804,0.082240835,13732174.403646944,1844.0,0.0823085558
DOGE/USD,2023-04-09 05:00:00+00:00,0.0822559,0.08394265,0.0812,0.08310571,18908423.29520263,2226.0,0.0829614642
DOGE/USD,2023-04-10 05:00:00+00:00,0.083067545,0.0854,0.0823,0.08464655,18518027.528678983,2955.0,0.084057913
DOGE/USD,2023-04-11 05:00:00+00:00,0.0846,0.085856137,0.0808,0.08163537,25625572.27926121,3537.0,0.0836208832
DOGE/USD,2023-04-12 05:00:00+00:00,0.0816495,0.08477035,0.0815,0.08344441,24316139.60316343,2856.0,0.0828084721
DOGE/USD,2023-04-13 05:00:00+00:00,0.08345,0.0913,0.082998027,0.0906404,64124170.66575272,7685.0,0.0875555025
DOGE/USD,2023-04-14 05:00:00+00:00,0.09063845,0.09403323,0.0851,0.0882705495,49988825.84331734,6390.0,0.0885243378
DOGE/USD,2023-04-15 05:00:00+00:00,0.0882787595,0.090650845,0.0878,0.0903668095,16620107.278930694,2553.0,0.0892006593
DOGE/USD,2023-04-16 05:00:00+00:00,0.0904,0.0919,0.0882,0.0894274,23669909.913199157,3468.0,0.0901038686
DOGE/USD,2023-04-17 05:00:00+00:00,0.089414465,0.09496075,0.0892,0.092448487,57547922.70727009,7990.0,0.0924028178
DOGE/USD,2023-04-18 05:00:00+00:00,0.0924,0.09497291,0.0916,0.09353435,32484128.179072786,5034.0,0.0933413139
DOGE/USD,2023-04-19 05:00:00+00:00,0.0936,0.0937,0.0858,0.091598895,59399683.86716548,9056.0,0.0896060821
DOGE/USD,2023-04-20 05:00:00+00:00,0.091594665,0.0935,0.0825496,0.084065,73735876.49577591,11282.0,0.087714839
DOGE/USD,2023-04-21 05:00:00+00:00,0.0841505,0.0848,0.0765,0.0791184465,31077345.835950695,3980.0,0.0810368636
DOGE/USD,2023-04-22 05:00:00+00:00,0.0791109465,0.0811,0.0787,0.0804,9269276.907573963,1595.0,0.0799771132
DOGE/USD,2023-04-23 05:00:00+00:00,0.0804,0.0808034505,0.07669119,0.0792881735,12782870.791116659,2153.0,0.0789913415
DOGE/USD,2023-04-24 05:00:00+00:00,0.0792879485,0.0798625,0.0772,0.078737735,8512512.062856913,1818.0,0.078560028
DOGE/USD,2023-04-25 05:00:00+00:00,0.07875872,0.080356,0.0776,0.080162,8890420.939161683,1589.0,0.0792449816
DOGE/USD,2023-04-26 05:00:00+00:00,0.080150735,0.0836,0.07477934,0.0803092025,39442290.24845529,5377.0,0.0793753094
DOGE/USD,2023-04-27 05:00:00+00:00,0.0802982025,0.08104726,0.0788,0.0803051995,12728628.65625545,2586.0,0.0799083926
DOGE/USD,2023-04-28 05:00:00+00:00,0.0802934145,0.0813,0.079153495,0.081255,7296721.032500179,1484.0,0.0802720149
DOGE/USD,2023-04-29 05:00:00+00:00,0.081245875,0.08206,0.0806174,0.0812945725,7633769.459754315,1197.0,0.0813880871
DOGE/USD,2023-04-30 05:00:00+00:00,0.0812995725,0.0818,0.07771215,0.078755,11272476.496069198,1768.0,0.0797796571
DOGE/USD,2023-05-01 05:00:00+00:00,0.0787679,0.0794,0.0774,0.0785790135,7958462.309078551,1204.0,0.0783937723
DOGE/USD,2023-05-02 05:00:00+00:00,0.0785946535,0.079255,0.0778,0.078442225,10897053.411831476,1478.0,0.0786162634
DOGE/USD,2023-05-03 05:00:00+00:00,0.07844748,0.0807,0.07728025,0.07944548,13741832.936832042,1982.0,0.0785491717
DOGE/USD,2023-05-04 05:00:00+00:00,0.07943,0.0797,0.078169613,0.0789212995,6856107.668557593,1077.0,0.0789267831
DOGE/USD,2023-05-05 05:00:00+00:00,0.0789049995,0.0817,0.0776,0.07955391,11274411.869870272,2268.0,0.0794704003
DOGE/USD,2023-05-06 05:00:00+00:00,0.0795335,0.0797,0.0762,0.0773565,9136625.740950402,3897.0,0.0776455569
DOGE/USD,2023-05-07 05:00:00+00:00,0.077365395,0.0788,0.0757,0.0768094355,8194763.387030524,1293.0,0.0774588617
DOGE/USD,2023-05-08 05:00:00+00:00,0.0768015005,0.0768473,0.0708,0.074147025,24826768.675577186,2702.0,0.0737263049
DOGE/USD,2023-05-09 05:00:00+00:00,0.07416867,0.0751,0.0729832835,0.073472324,6946547.423966634,1962.0,0.0740638252
DOGE/USD,2023-05-10 05:00:00+00:00,0.0735,0.0748,0.0706,0.07285275,8635561.09697433,2627.0,0.0729402667
DOGE/USD,2023-05-11 05:00:00+00:00,0.07284545,0.0730131725,0.0694,0.0717385065,6492315.246117398,2515.0,0.0710134763
DOGE/USD,2023-05-12 05:00:00+00:00,0.07171,0.07297,0.06969,0.0718838365,5503797.690544857,1367.0,0.071758608
DOGE/USD,2023-05-13 05:00:00+00:00,0.0718949865,0.07226,0.071153,0.07210082,3172186.031408925,2185.0,0.0716795105
DOGE/USD,2023-05-14 05:00:00+00:00,0.0721064,0.07363,0.071,0.0728797,3840461.525278932,810.0,0.0722856727
DOGE/USD,2023-05-15 05:00:00+00:00,0.072897,0.0733,0.07091,0.0717983915,5109302.280529713,984.0,0.072197867
DOGE/USD,2023-05-16 05:00:00+00:00,0.0717973915,0.07357977,0.0715,0.07306105,4701788.873442607,1178.0,0.0723218955
DOGE/USD,2023-05-17 05:00:00+00:00,0.073062475,0.075736,0.07233,0.074279634,9869150.644215584,1759.0,0.074173038
DOGE/USD,2023-05-18 05:00:00+00:00,0.0742,0.07488,0.07172,0.073932,10216078.934458138,2886.0,0.0731005293
DOGE/USD,2023-05-19 05:00:00+00:00,0.0739302705,0.074,0.0731,0.073476165,2895078.258522988,620.0,0.0734830302
DOGE/USD,2023-05-20 05:00:00+00:00,0.0734777185,0.07398,0.07317,0.07376894,1969633.623905586,377.0,0.0736363244
DOGE/USD,2023-05-21 05:00:00+00:00,0.0737658,0.073927397,0.070774,0.0716442,2792572.219195374,990.0,0.0723489912
DOGE/USD,2023-05-22 05:00:00+00:00,0.071596,0.074,0.0715,0.0734529405,2892824.02203042,1582.0,0.0728864261
DOGE/USD,2023-05-23 05:00:00+00:00,0.0734554405,0.3134176255,0.06352475,0.0713863,3288160.371366461,2266.0,0.0775148265
DOGE/USD,2023-05-24 05:00:00+00:00,0.0713886,0.071508,0.06873,0.0703251765,7705755.279322311,2025.0,0.0704889266
DOGE/USD,2023-05-25 05:00:00+00:00,0.0703399615,0.071132755,0.06997,0.070775417,4018946.917737702,649.0,0.0706293183
DOGE/USD,2023-05-26 05:00:00+00:00,0.070767417,0.0719,0.07044,0.0716043,5353052.487399618,874.0,0.0710118366
DOGE/USD,2023-05-27 05:00:00+00:00,0.0716,0.0735,0.0709,0.072856068,3514389.884571598,697.0,0.0723606726
DOGE/USD,2023-05-28 05:00:00+00:00,0.072835293,0.074010337,0.07197,0.07318244,4697163.322106973,1093.0,0.0731580536
DOGE/USD,2023-05-29 05:00:00+00:00,0.0732254,0.07355125,0.0721,0.072695376,2631042.36503597,2309.0,0.0729361451
DOGE/USD,2023-05-30 05:00:00+00:00,0.072704626,0.0735,0.071338675,0.071480705,4490233.476239652,912.0,0.0725145541
DOGE/USD,2023-05-31 05:00:00+00:00,0.071459,0.07197,0.07059,0.0713905155,6478218.615455516,941.0,0.0712736975
DOGE/USD,2023-06-01 05:00:00+00:00,0.0714054705,0.0722272,0.071,0.07202367,11162210.4333436,985.0,0.0717930915
DOGE/USD,2023-06-02 05:00:00+00:00,0.0720303145,0.07325,0.07159,0.072449315,2478708.111549122,615.0,0.0724635156
DOGE/USD,2023-06-03 05:00:00+00:00,0.0724596775,0.073,0.07229,0.07266776,2485226.286928681,437.0,0.0726938392
DOGE/USD,2023-06-04 05:00:00+00:00,0.072654755,0.07333,0.0713913255,0.07183,2732413.881478138,903.0,0.0724531407
DOGE/USD,2023-06-05 05:00:00+00:00,0.07181885,0.07195,0.06335,0.0669101,22381144.10580234,3509.0,0.0671160592
DOGE/USD,2023-06-06 05:00:00+00:00,0.06690805,0.07201375,0.06602,0.0707207,20101519.929999724,4051.0,0.0695424577
DOGE/USD,2023-06-07 05:00:00+00:00,0.0707125,0.07272,0.06670135,0.06781575,13065780.852601526,2529.0,0.0705647177
DOGE/USD,2023-06-08 05:00:00+00:00,0.06782005,0.070278,0.06621,0.06788425,8960461.146945009,2061.0,0.0672018459
DOGE/USD,2023-06-09 05:00:00+00:00,0.0678907,0.071158425,0.054259,0.06018385,34522167.41294622,9887.0,0.0668030447
DOGE/USD,2023-06-10 05:00:00+00:00,0.06019355,0.0666995,0.05869611,0.0619765,9758502.304392595,2660.0,0.0608551429
DOGE/USD,2023-06-11 05:00:00+00:00,0.061970525,0.0626098,0.05987255,0.06098395,7871220.353734124,2048.0,0.0617515363
DOGE/USD,2023-06-12 05:00:00+00:00,0.06099245,0.06705225,0.06043023,0.061808185,6518737.734913282,2000.0,0.0614439182
DOGE/USD,2023-06-13 05:00:00+00:00,0.06185639,0.06705225,0.0605168,0.061930265,4174721.072866914,691.0,0.0621581712
DOGE/USD,2023-06-14 05:00:00+00:00,0.06190607,0.06705225,0.05808,0.060127455,663790.174597672,98.0,0.0610367378
DOGE/USD,2023-06-15 05:00:00+00:00,0.06013015,0.0667445,0.05946577,0.061601865,50431.562267195,19.0,0.061235578
DOGE/USD,2023-06-16 05:00:00+00:00,0.061646755,0.067801,0.060725,0.062007,70391.984233909,17.0,0.0622265469
DOGE/USD,2023-06-17 05:00:00+00:00,0.062028,0.06298632,0.06119825,0.06192527,468931.257295168,22.0,0.0618591695
DOGE/USD,2023-06-18 05:00:00+00:00,0.0619149,0.065057,0.061111755,0.06204425,20272.088125949,12.0,0.0628517533
DOGE/USD,2023-06-19 05:00:00+00:00,0.062050225,0.06654075,0.06155443,0.062321575,5573.663927386,10.0,0.0623397069
DOGE/USD,2023-06-20 05:00:00+00:00,0.06227022,0.06421263,0.060708145,0.064005,70327.371983288,21.0,0.0619480848
DOGE/USD,2023-06-21 05:00:00+00:00,0.06401859,0.06940415,0.063511485,0.06845605,26276.339423114,28.0,0.0641344193
DOGE/USD,2023-06-22 05:00:00+00:00,0.06850336,0.0686191,0.06522935,0.066363055,5021.811483134,15.0,0.0672637122
DOGE/USD,2023-06-23 05:00:00+00:00,0.066432875,0.07012135,0.0651165,0.0681178,18722.473683684,22.0,0.0679178046
DOGE/USD,2023-06-24 05:00:00+00:00,0.06811445,0.068394505,0.065287,0.067518885,6868.597760986,8.0,0.0670829619
DOGE/USD,2023-06-25 05:00:00+00:00,0.06759165,0.06808025,0.06516305,0.06590835,39449.983099284,16.0,0.0678228936
DOGE/USD,2023-06-26 05:00:00+00:00,0.06583835,0.06672703,0.063154,0.0651695,27536.870389329,21.0,0.0659831754
DOGE/USD,2023-06-27 05:00:00+00:00,0.06517209,0.065814805,0.0642779,0.06509,10812.548590176,27.0,0.0651961319
DOGE/USD,2023-06-28 05:00:00+00:00,0.065107695,0.0665224915,0.0600515,0.06276,89633.937290337,47.0,0.0624765736
DOGE/USD,2023-06-29 05:00:00+00:00,0.062768,0.066342755,0.0625077,0.06502085,8338.617752736,19.0,0.0637793255
DOGE/USD,2023-06-30 05:00:00+00:00,0.0652813,0.071366045,0.06113459,0.06881,47618.49753706,46.0,0.0658463192
DOGE/USD,2023-07-01 05:00:00+00:00,0.068785,0.069003,0.06646525,0.06725314,89442.342819722,18.0,0.0674225027
DOGE/USD,2023-07-02 05:00:00+00:00,0.0671896,0.069181655,0.065873645,0.0681095,17126.403883767,9.0,0.0681408591
DOGE/USD,2023-07-03 05:00:00+00:00,0.068189415,0.06985247,0.06720275,0.06857785,91253.548237773,22.0,0.068576559
DOGE/USD,2023-07-04 05:00:00+00:00,0.068588,0.071932635,0.0657359475,0.06873045,20718.496067245,17.0,0.0699691494
DOGE/USD,2023-07-05 05:00:00+00:00,0.06871341,0.070773731,0.06551879,0.066857335,52592.822951824,19.0,0.0666752408
DOGE/USD,2023-07-06 05:00:00+00:00,0.066874,0.0690459835,0.064097045,0.065266935,67311.813282368,20.0,0.0665834835
